kf_mgkg,frequency_thz,eps_real
75,0.5,1.0562553643323362
75,0.505,1.057024101175921
75,0.51,1.0529289115529816
75,0.515,1.0567965544179165
75,0.52,1.053660307339075
75,0.525,1.050387965599949
75,0.53,1.0523735498461535
75,0.535,1.0551329392192834
75,0.54,1.0541113029982307
75,0.545,1.0500568703035051
75,0.55,1.0541180420027543
75,0.555,1.0519983420374728
75,0.56,1.0529292803481183
75,0.565,1.0523470821624872
75,0.5700000000000001,1.0482760286517836
75,0.575,1.0516991607810389
75,0.58,1.048960233619824
75,0.585,1.0540030741934303
75,0.59,1.0516047466783358
75,0.595,1.0495752913972387
75,0.6,1.0466690239867615
75,0.605,1.0489323215168531
75,0.61,1.0488690866876802
75,0.615,1.045123665946009
75,0.62,1.0533848721657237
75,0.625,1.0484965808201805
75,0.63,1.0514302231642998
75,0.635,1.044110074866606
75,0.64,1.0506787122514059
75,0.645,1.0428887968067064
75,0.65,1.0443698061432036
75,0.655,1.0470656104827307
75,0.66,1.045546215397929
75,0.665,1.0392529892916318
75,0.67,1.0421115880976726
75,0.675,1.0467030555160572
75,0.6799999999999999,1.049566735182042
75,0.685,1.046378560998142
75,0.69,1.0431512830526026
75,0.6950000000000001,1.0455894559534922
75,0.7,1.040501230724409
75,0.7050000000000001,1.0444043524337194
75,0.71,1.03953610598479
75,0.715,1.0426630354504538
75,0.72,1.0421479198004107
75,0.725,1.0442747959136058
75,0.73,1.0413137993180075
75,0.735,1.044884650967915
75,0.74,1.0412030893592175
75,0.745,1.0436085163953934
75,0.75,1.0433129314322311
75,0.755,1.0365805048326253
75,0.76,1.0411199120340966
75,0.765,1.0409663282918467
75,0.77,1.0387872688041095
75,0.775,1.041047424609155
75,0.78,1.0368320266660596
75,0.785,1.0417404858862742
75,0.79,1.0415108297495659
75,0.7949999999999999,1.0408810529707822
75,0.8,1.046222143532938
75,0.8049999999999999,1.040819457483856
75,0.81,1.0400223420816883
75,0.815,1.0379451895864806
75,0.8200000000000001,1.0404479773195041
75,0.825,1.0372370001086966
75,0.8300000000000001,1.0427643036497025
75,0.835,1.0379159039667283
75,0.8400000000000001,1.0398883303043547
75,0.845,1.0444313217134389
75,0.8500000000000001,1.0423372847763581
75,0.855,1.0400108333390212
75,0.86,1.0428379309948936
75,0.865,1.039242171993839
75,0.87,1.041363485444467
75,0.875,1.0394262489573571
75,0.88,1.037124236056646
75,0.885,1.0404788875689566
75,0.89,1.041761163906044
