day,has_kf_reference,kf_mgkg,frequency_thz,eps_real_mean,eps_real_sd,n_scans,eps_real_sem
3,True,84.0,0.5,1.3406374349814336,0.07081562886967412,120,0.006464552892639097
3,True,84.0,0.51,1.335413538721756,0.0718409372479774,120,0.006558150313838388
3,True,84.0,0.52,1.3303914642572354,0.07022375996179346,120,0.0064105229006504
3,True,84.0,0.53,1.3305746142699606,0.06775155784390048,120,0.0061848427562033945
3,True,84.0,0.54,1.3303320291017715,0.06411526348289094,120,0.005852896014994435
3,True,84.0,0.55,1.3307453843200234,0.06264350179377341,120,0.005718543168927506
3,True,84.0,0.56,1.3290357678327733,0.06196628718467142,120,0.005656722215981305
3,True,84.0,0.57,1.3280231496674388,0.06390790198731924,120,0.005833966586880664
3,True,84.0,0.58,1.3256220561963328,0.06542373186496277,120,0.005972342289768273
3,True,84.0,0.59,1.32905296304491,0.06763365087341829,120,0.006174079371633363
3,True,84.0,0.6,1.3327158043361242,0.06756821567318855,120,0.006168105982429914
3,True,84.0,0.61,1.3396797362398911,0.06839691510917217,120,0.006243755544843253
3,True,84.0,0.62,1.3423371818126113,0.06912814062683548,120,0.00631050699661785
3,True,84.0,0.63,1.343135061896136,0.07142111053209994,120,0.006519825553416823
3,True,84.0,0.64,1.3392542062377344,0.07294828644780232,120,0.006659237003134956
3,True,84.0,0.65,1.337610983758583,0.07357658009005066,120,0.006716592103234373
3,True,84.0,0.66,1.335087320709409,0.07171634145255876,120,0.006546776325884874
3,True,84.0,0.67,1.3368018660233814,0.0676551480082373,120,0.006176041782577046
3,True,84.0,0.68,1.334822752961711,0.06460847686485985,120,0.0058979200308223985
3,True,84.0,0.69,1.3344634286258314,0.06223612772424676,120,0.005681355174390435
3,True,84.0,0.7,1.330009202935556,0.0618665485114321,120,0.005647617362449836
3,True,84.0,0.71,1.3267328779935648,0.06314466922234363,120,0.005764293286546634
3,True,84.0,0.72,1.3238978853101175,0.06387618480828293,120,0.0058310712178108945
3,True,84.0,0.73,1.3286796237591683,0.06352176739067886,120,0.0057987174820784805
3,True,84.0,0.74,1.3318979585335777,0.06288972368450799,120,0.005741020049545322
3,True,84.0,0.75,1.3381482719966244,0.0632803663905444,120,0.005776680686548823
