day,has_kf_reference,kf_mgkg,frequency_thz,eps_real_mean,eps_real_sd,n_scans,eps_real_sem
0,True,75.0,0.5,4.7952970941830815,1.1553712822404447,19,0.2650603506081635
0,True,75.0,0.51,4.75558020118864,1.1129120570946096,19,0.25531953631175636
0,True,75.0,0.52,4.769237950093381,1.1383363394301462,19,0.26115226670189584
0,True,75.0,0.53,4.751088666132531,1.1181498827378775,19,0.2565211759255927
0,True,75.0,0.54,4.767820758966542,1.1408964162789998,19,0.26173958861094065
0,True,75.0,0.55,4.737725856745778,1.1015156784638327,19,0.2527050277447099
0,True,75.0,0.56,4.745290317834164,1.135931676768941,19,0.2606005992527643
0,True,75.0,0.57,4.749647138883975,1.1209173900288487,19,0.257156085641743
0,True,75.0,0.58,4.744993517126739,1.1246122922604882,19,0.2580037543487946
0,True,75.0,0.59,4.743291101593109,1.1134869072078353,19,0.2554514159723476
0,True,75.0,0.6,4.729349192456131,1.1246201147972534,19,0.2580055489618073
0,True,75.0,0.61,4.739183246569177,1.1165564570599837,19,0.25615561900433054
0,True,75.0,0.62,4.72007044866296,1.1138691384840518,19,0.25553910584108913
0,True,75.0,0.63,4.721347965244088,1.1106858519243739,19,0.2548088098188803
0,True,75.0,0.64,4.705057712863083,1.110897122865358,19,0.2548572786968517
0,True,75.0,0.65,4.705803888625252,1.1100998087990208,19,0.25467436230519763
0,True,75.0,0.66,4.692723970917269,1.0980072188920216,19,0.25190013191728766
0,True,75.0,0.67,4.689134905776963,1.1047651700490508,19,0.25345051224143894
0,True,75.0,0.68,4.683170859320876,1.095904021214478,19,0.2514176252786191
0,True,75.0,0.69,4.673053336003432,1.097291222553629,19,0.25173587109186674
0,True,75.0,0.7,4.671461118922488,1.0851802969903945,19,0.2489574342159255
0,True,75.0,0.71,4.659289922037263,1.0945466727871016,19,0.2511062281930345
0,True,75.0,0.72,4.656209680556861,1.0838496296368683,19,0.2486521581884787
0,True,75.0,0.73,4.645755286470057,1.0881527990421056,19,0.24963937295555055
0,True,75.0,0.74,4.643501174498768,1.0810647163479392,19,0.24801325526253315
0,True,75.0,0.75,4.6310697754554475,1.092575492212144,19,0.25065400835483925
0,True,75.0,0.76,4.620658746256176,1.075319728919675,19,0.24669526475560075
0,True,75.0,0.77,4.624737315065019,1.0822901385572663,19,0.2482943863979872
0,True,75.0,0.78,4.614116382748096,1.0725278638793787,19,0.2460547669885136
0,True,75.0,0.79,4.61984747099157,1.078766625713422,19,0.24748603711311432
0,True,75.0,0.8,4.59559200321039,1.0633016249593026,19,0.24393812261579922
0,True,75.0,0.81,4.611062109253834,1.0727170130922492,19,0.24609816079399535
0,True,75.0,0.82,4.591127672579607,1.0636754806437332,19,0.24402389099200456
0,True,75.0,0.83,4.593911548140523,1.065577396272534,19,0.24446022036174575
0,True,75.0,0.84,4.57500485274591,1.0540200735956975,19,0.24180878869826045
0,True,75.0,0.85,4.585548923883024,1.0625269697017643,19,0.24376040451139439
0,True,75.0,0.86,4.573681304863473,1.0546121358562768,19,0.2419446170962683
0,True,75.0,0.87,4.561320134272114,1.0536984725599114,19,0.24173500836062206
0,True,75.0,0.88,4.559897826375147,1.0506486672798128,19,0.2410353350441259
0,True,75.0,0.89,4.551552920119012,1.0536198268792176,19,0.24171696580406993
0,True,75.0,0.9,4.564920005746256,1.0460561636838104,19,0.23998174246134582
0,True,75.0,0.91,4.5324891666105716,1.0374781945349791,19,0.23801382137394766
0,True,75.0,0.92,4.549527362474657,1.0388591805156453,19,0.23833064128616716
0,True,75.0,0.93,4.532891246624486,1.0362268948019597,19,0.23772675352740497
0,True,75.0,0.94,4.544734652460815,1.0322407628225219,19,0.23681227213403733
0,True,75.0,0.95,4.520492603903745,1.02038532579056,19,0.23409244834699355
0,True,75.0,0.96,4.5294974010641464,1.0282033698277149,19,0.2358860306572098
0,True,75.0,0.97,4.518308601155968,1.0190779335385751,19,0.23379251199404777
0,True,75.0,0.98,4.5197000086257155,1.0198872725332677,19,0.2339781870934652
0,True,75.0,0.99,4.508694564168103,1.0104184439976593,19,0.23180588884607412
0,True,75.0,1.0,4.505302735842053,1.0282641890113073,19,0.2358999835348471
0,True,75.0,1.01,4.508742310393684,1.0069639977569644,19,0.23101338452664869
0,True,75.0,1.02,4.490248757674216,1.0244647297798222,19,0.23502832780694463
0,True,75.0,1.03,4.495872162242153,1.0068720836658704,19,0.23099229798798732
0,True,75.0,1.04,4.478497908958115,1.0313909521283702,19,0.23661731218998747
0,True,75.0,1.05,4.504355012878797,0.9907087117055254,19,0.2272841661478819
0,True,75.0,1.06,4.4729622480313544,1.0225236687513664,19,0.2345830178666139
0,True,75.0,1.07,4.486241784261247,0.9889349359509008,19,0.22687723408141286
0,True,75.0,1.08,4.4528869916992155,1.0254808502407344,19,0.2352614418281857
0,True,75.0,1.09,4.4772905986740525,0.9758764363535872,19,0.22388140881304675
0,True,75.0,1.1,4.393418574010435,0.884402019365113,19,0.20289573830925414
0,True,75.0,1.11,4.307772279694757,0.9873998902384341,19,0.2265250704427625
0,True,75.0,1.12,4.289513127308031,1.0387568508258413,19,0.23830716524528403
0,True,75.0,1.13,4.288028572954525,1.03408996897753,19,0.23723650912116648
0,True,75.0,1.14,4.2910263958508565,1.0333038931177492,19,0.2370561709509169
0,True,75.0,1.15,4.241635792221048,1.1187180629271694,19,0.2566515254006898
0,True,75.0,1.16,4.233855655766394,1.1285346754978272,19,0.2589036107777103
0,True,75.0,1.17,4.16986310987287,1.095856689851956,19,0.251406766719351
0,True,75.0,1.18,4.100815959543734,1.1808174868565637,19,0.270898110314391
0,True,75.0,1.19,4.093903224235876,1.2217439341487266,19,0.28028728125463737
0,True,75.0,1.2,4.092755023964567,1.2379085407024246,19,0.2839956963298829
0,True,75.0,1.21,4.114307850857877,1.2288814421695413,19,0.2819247378952396
0,True,75.0,1.22,4.085534001458995,1.2274914176311702,19,0.2816058443956711
0,True,75.0,1.23,4.078939137455754,1.249081082289268,19,0.28655885315722796
0,True,75.0,1.24,4.088033415305646,1.246335862203715,19,0.2859290564766646
0,True,75.0,1.25,4.087613752967764,1.2452148971847778,19,0.2856718894642019
0,True,75.0,1.26,4.080052619360726,1.2425402357816544,19,0.28505828005554906
0,True,75.0,1.27,4.075145250446675,1.2398698067332998,19,0.28444564161567154
0,True,75.0,1.28,4.079354832668635,1.2465835806075394,19,0.2859858869760712
0,True,75.0,1.29,4.080356711243737,1.2406211026092608,19,0.28461800071040905
0,True,75.0,1.3,4.075888860637132,1.2398857027322503,19,0.2844492884079364
0,True,75.0,1.31,4.0787966514964324,1.234306941622175,19,0.2831694328337799
0,True,75.0,1.32,4.076264082958801,1.2438533701168712,19,0.2853595337327335
