unit_id,day,kf_mgkg,has_kf_reference,cell_thickness_mm,source_file,n_scans,eps_real_1p9418_mean,eps_real_1p9418_sd,pc1,pc2
1,10,91.0,True,1.2,3月补实验/硅油10天02-202603210721.xlsx,60,1.2461125315639692,0.1323962672855215,-12.440378512027385,-1.6820505524337075
2,10,91.0,True,1.2,3月补实验/硅油10天202603210331.xlsx,71,1.5119992496135215,0.0370355773843599,-8.892813468040902,-0.4987846098040055
3,15,99.0,True,1.2,3月补实验/硅油15天02-202603210721.xlsx,70,1.4720534638595666,0.0106406310246884,-9.446854229082351,-0.6099832420808863
4,15,99.0,True,1.2,3月补实验/硅油15天202603210331.xlsx,60,1.2847686118511346,0.0633953581444884,-12.028485898630974,-1.4219572763238384
5,20,,False,1.2,3月补实验/硅油20天02-202603210721.xlsx,70,1.4863559618685065,0.0396375705249362,-9.164167490961626,-0.5869178948824729
6,20,,False,1.2,3月补实验/硅油20天202603210331.xlsx,60,1.352113965011587,0.0268879456373152,-11.105067079048208,-1.1849707057491563
7,30,113.0,True,1.2,3月补实验/硅油30天02-202603210721.xlsx,70,1.3864566001630017,0.0379905886029923,-10.710782406612068,-0.9949606958906978
8,30,113.0,True,1.2,3月补实验/硅油30天202603210331.xlsx,60,1.365788312136846,0.1154249350818123,-10.972055121933153,-1.0774721759469166
9,3,84.0,True,1.2,3月补实验/硅油3天02-202603210721.xlsx,60,1.2749458657596595,0.0542366195921282,-12.200535122761938,-1.4957852805790572
10,3,84.0,True,1.2,3月补实验/硅油3天202603210721.xlsx,60,1.342848411565133,0.0626578283898154,-11.16892228687592,-1.2241451668913716
11,0,75.0,True,1.2,硅油水分_0d_01.xlsx,5,2.26904921174465,2.007835934175449,38.42914475711057,-4.731483142874821
12,0,75.0,True,1.2,硅油水分_0d_02.xlsx,14,1.1334295270416266,1.0560292341309243,16.78999960599071,-11.531442493834945
13,10,91.0,True,1.2,硅油水分_10d_01.xlsx,15,1.4780676628130611,0.0464694178176272,-9.320341540138031,-0.5669761863732516
14,10,91.0,True,1.2,硅油水分_10d_02.xlsx,31,1.691564756677015,0.1186598928770169,-6.202877369046917,0.286747766689221
15,15,99.0,True,1.2,硅油水分_15d_01.xlsx,5,1.8084452079853883,0.5913486490351024,0.4557061297427934,-0.9272988601678744
16,15,99.0,True,1.2,硅油水分_15d_02.xlsx,10,2.798895491854562,0.6397872537532506,15.351161828747587,3.1397031760027225
17,15,99.0,True,1.2,硅油水分_15d_03.xlsx,15,1.3956510474171866,0.568175449138095,-0.2740457219900838,-4.046106461069382
18,15,99.0,True,1.2,硅油水分_15d_04.xlsx,20,2.645107269256691,0.2594962388202332,7.457619098115357,4.429973175653989
19,15,99.0,True,1.2,硅油水分_15d_05.xlsx,31,1.6413195925689037,0.037745922556554,-6.783889394555943,0.0916843186334567
20,20,,False,1.2,硅油水分_20d_01.xlsx,10,2.4720201420992174,0.347055013677471,5.427071872339756,3.5549843149017004
21,20,,False,1.2,硅油水分_20d_02.xlsx,10,2.4535580526835994,0.2876509567476559,4.135940702268202,3.904442191781773
22,20,,False,1.2,硅油水分_20d_03.xlsx,6,2.6334004839166227,0.0803482330311258,7.367440704440389,4.338647345824217
23,20,,False,1.2,硅油水分_20d_04.xlsx,31,1.7135484111473305,0.164916282602392,-4.846601491633835,0.1097902816112612
24,30,113.0,True,1.2,硅油水分_30d_01.xlsx,30,2.3562236525148355,0.1614389605902742,3.986248856358525,2.919714779079194
25,3,84.0,True,1.2,硅油水分_3d_01.xlsx,10,2.421410400859288,1.2612486914001202,12.465439154538949,0.8443542999034127
26,3,84.0,True,1.2,硅油水分_3d_02.xlsx,10,2.200480957273672,0.7102494416085285,9.906244605136788,0.720150371533979
27,3,84.0,True,1.2,硅油水分_3d_03.xlsx,10,2.9256462166055046,0.8214569729769103,14.486034038872743,4.414651136157664
28,3,84.0,True,1.2,硅油水分_3d_04.xlsx,32,1.7915645955893909,0.1655731902782763,-4.4973914307420495,0.6245353745535851
29,3,84.0,True,1.2,硅油水分_3d_05.xlsx,30,2.370729352979684,0.0777692933663769,3.7971572104190248,3.200956212576205
