day,has_kf_reference,kf_mgkg,unit_count,scan_count,eps_real_1p9418_mean,eps_real_1p9418_sd,eps_real_1p9418_sem
0,True,75.0,2,19,1.7012393693931385,0.803004379902437,0.5678098423515118
3,True,84.0,7,212,2.0468036858046186,0.6052139349295674,0.22874936597349468
10,True,91.0,4,177,1.4819360501668917,0.18300791139643596,0.09150395569821798
15,True,99.0,7,211,1.8637486692562049,0.6117342060309443,0.2312137968042039
20,False,,6,187,2.0184995027878103,0.5645000850494519,0.23045619468814404
30,True,113.0,3,160,1.7028228549382278,0.5659560462065878,0.3267548756268698
