sample,side,kf_mgkg,mapped_mgkg,mapped_sd,error_mgkg,abs_error_mgkg,relative_error_percent
S1,North,80.05,80.2,2.2,0.15000000000000568,0.15000000000000568,0.18738288569644682
S2,North,80.43,82.28,3.2,1.8499999999999943,1.8499999999999943,2.3001367648887157
S3,North,79.1,79.38,2.3,0.28000000000000114,0.28000000000000114,0.35398230088495725
S4,South,79.5,82.65,3.45,3.1500000000000057,3.1500000000000057,3.962264150943404
S5,South,80.1,84.7,3.95,4.6000000000000085,4.6000000000000085,5.742821473158563
S6,South,80.43,85.6,4.15,5.1699999999999875,5.1699999999999875,6.4279497699863075
